1.1499,1.4848,-0.23453,-0.43298,-0.11872,-0.3633,-0.57919,-0.14199
-0.61041,-0.46099,-0.50735,-0.65394,-0.58277,-0.36441,-0.61416,0.088065
-0.38303,0.27476,-0.11652,0.70474,-0.42115,-0.28771,0.0023257,0.43739
1.2878,0.35625,-0.28482,-0.56029,-0.136,-0.41647,-0.65164,-0.15344
0.75501,0.048886,-0.5441,-0.87916,-0.28751,-0.5938,-0.92601,-1.1053
-0.53089,-0.64068,-0.61512,-0.73671,-0.60375,-0.51943,-0.63665,-0.085551
-0.41048,0.11365,-0.2616,-0.53427,1.3228,0.97397,2.2489,1.7274
1.0193,-0.36385,2.6178,2.0627,-0.42754,-0.62039,0.52323,-0.43521
0.44275,0.1102,-0.47802,-0.86152,-0.34693,-0.58476,-0.8974,-1.028
1.1344,0.54921,-0.25394,-0.59043,-0.17779,-0.52558,-0.77516,-0.65551
-0.69359,-0.65157,-0.44865,-0.62542,-0.69611,-0.60156,-0.83187,-0.68703
-0.49933,-0.59954,-0.40203,-0.58705,-0.62761,-0.49672,-0.71449,-0.16194
-0.90254,0.34563,-0.41025,0.30163,0.57026,1.3068,1.173,1.9347
-0.54535,-0.49284,-0.21568,-0.051928,-0.52196,-0.3763,-0.24918,0.28255
-0.84284,-0.71766,-0.59256,-0.77169,-0.64709,-0.41734,-0.66899,-0.05485
0.4443,-0.31076,-0.4533,-0.55574,-0.42639,-0.60572,-0.8387,-1.1155
-0.31556,-0.672,-0.56741,-0.77008,-0.60021,-0.64521,-0.89329,-1.0168
-0.96861,-0.96052,-0.7492,-0.82021,-0.52114,-0.26377,0.16021,0.60111
0.49973,0.12055,-0.3024,-0.90915,-0.33516,-0.60228,-0.8508,-1.082
0.86244,-0.21388,-0.3642,-0.74053,-0.31049,-0.59728,-0.7618,-1.0314
-1.228,-0.52257,-0.54871,-0.71363,0.73187,1.6792,1.2494,1.9565
0.19633,0.0956,-0.5981,-1.0378,-0.40789,-0.62976,-0.97056,-1.1522
-0.66731,-0.37898,-0.61136,-0.25436,-0.48559,-0.24555,-0.34287,0.38461
-0.0072631,-0.3235,-0.27067,-0.61189,-0.51538,-0.63603,-0.77355,-0.87146
0.42767,-0.22822,-0.27547,-0.37329,-0.37623,-0.55402,-0.27042,-0.56473
-0.51231,-0.95123,-0.56332,-0.75126,-0.74207,-0.7303,-0.92915,-1.1525
0.93792,1.8023,-0.11323,-0.27333,0.12506,-0.22474,-0.49891,-0.40061
0.12489,0.043046,-0.20356,-0.78301,-0.45243,-0.52031,-0.80778,-0.97294
-0.44491,-0.71713,-0.63645,-0.046047,-0.74243,-0.70128,-0.93388,-1.0515
1.7464,-0.27812,3.1645,1.1972,-0.29865,-0.66369,0.31963,-0.97625
-1.1761,-0.86895,-0.62616,-0.50428,-0.37371,0.15419,0.27854,1.05
-0.38327,-0.92867,-0.51332,-0.72112,-0.69602,-0.68007,-0.84488,-1.0947
-0.51075,-1.0327,-0.62329,-0.89063,-0.74311,-0.71864,-0.91047,-1.2048
-0.80086,-0.94911,-0.62104,-0.76096,-0.75862,-0.70659,-0.89666,-1.0622
0.40442,-0.86974,-0.52714,-0.48605,-0.59108,-0.67494,-0.86158,-1.077
-0.94965,-0.72535,-0.541,-0.72303,-0.10525,0.0055511,1.0063,0.90916
-1.385,-1.0011,-0.74441,-0.88225,1.1288,0.80548,2.63,1.6533
-0.40768,-0.67015,-0.58899,-0.60248,-0.69247,-0.67342,-0.87081,-1.1176
-0.17144,-0.81772,-0.56248,-0.86872,-0.61188,-0.58504,-0.82268,-0.39682
0.61858,-0.07082,-0.40292,-0.65467,-0.34952,-0.57874,-0.81546,-0.84124
-0.51176,-0.93928,-0.022572,-0.027965,-0.69916,-0.69187,-0.37815,-0.76742
-0.31789,-0.67174,-0.28209,-0.32463,-0.51498,-0.57044,-0.30418,-0.23006
0.99925,0.51868,-0.32068,-0.53912,-0.15622,-0.44912,-0.55365,-0.42089
-0.84027,-0.66882,-0.68152,-0.95252,-0.54221,-0.24507,-0.41573,0.37613
-1.0442,-1.0752,-0.76067,-0.90944,-0.70706,-0.44711,-0.45924,0.19137
-0.78034,-0.25529,-0.642,-0.92135,-0.47516,-0.059309,-0.64405,0.39153
-0.28657,-0.88408,-0.70733,-0.67628,-0.67909,-0.65685,-0.79207,-0.6232
