1.1499,1.4848,-0.23453,-0.43298,-0.11872,-0.3633,-0.57919,-0.14199,1.2081,0.88709,-0.19547,-0.16308,1.1402,0.9104,0.68409,-0.0070236
-0.61041,-0.46099,-0.50735,-0.65394,-0.58277,-0.36441,-0.61416,0.088065,-0.64261,-0.40388,-0.54107,-0.53496,-0.39947,-0.35628,-0.21972,-0.34836
-0.38303,0.27476,-0.11652,0.70474,-0.42115,-0.28771,0.0023257,0.43739,-0.43066,-0.106,0.24441,0.87605,0.94123,1.088,-0.16517,0.47988
1.2878,0.35625,-0.28482,-0.56029,-0.136,-0.41647,-0.65164,-0.15344,1.2418,0.28973,-0.15355,-0.33821,1.0898,1.0724,0.23881,0.23812
0.75501,0.048886,-0.5441,-0.87916,-0.28751,-0.5938,-0.92601,-1.1053,0.85921,-0.0049552,-0.5744,-0.89144,0.36352,0.39571,0.75659,-0.15292
-0.53089,-0.64068,-0.61512,-0.73671,-0.60375,-0.51943,-0.63665,-0.085551,-0.66736,-0.86499,-0.61495,-0.52428,0.29924,0.38202,-0.41748,-0.56908
-0.41048,0.11365,-0.2616,-0.53427,1.3228,0.97397,2.2489,1.7274,-0.39084,-0.04702,0.092726,-0.12954,0.97814,1.1098,-0.029048,0.47547
1.0193,-0.36385,2.6178,2.0627,-0.42754,-0.62039,0.52323,-0.43521,-0.21993,-0.99279,0.24192,0.17179,-0.59105,0.086806,-0.63179,1.2815
0.44275,0.1102,-0.47802,-0.86152,-0.34693,-0.58476,-0.8974,-1.028,0.63402,0.016992,-0.45098,-0.7804,0.41546,0.35921,0.072273,-0.1726
1.1344,0.54921,-0.25394,-0.59043,-0.17779,-0.52558,-0.77516,-0.65551,1.1629,0.29887,-0.13902,-0.48875,1.0178,1.061,0.23552,-0.2101
-0.69359,-0.65157,-0.44865,-0.62542,-0.69611,-0.60156,-0.83187,-0.68703,-0.76378,-0.69651,-0.38055,-0.42441,0.56995,0.29134,0.46419,0.50533
-0.49933,-0.59954,-0.40203,-0.58705,-0.62761,-0.49672,-0.71449,-0.16194,-0.67919,-0.68279,-0.39653,-0.39585,0.98984,1.2395,0.59603,1.3889
-0.90254,0.34563,-0.41025,0.30163,0.57026,1.3068,1.173,1.9347,-0.66889,0.70031,0.053219,1.4039,0.23685,0.19164,-0.70379,-0.26184
-0.54535,-0.49284,-0.21568,-0.051928,-0.52196,-0.3763,-0.24918,0.28255,-0.65793,-0.73948,-0.36369,-0.13054,0.72786,0.6559,0.27731,-0.088457
-0.84284,-0.71766,-0.59256,-0.77169,-0.64709,-0.41734,-0.66899,-0.05485,-0.78633,-0.56391,-0.50341,-0.47857,1.1258,1.2321,-0.39464,-0.36991
0.4443,-0.31076,-0.4533,-0.55574,-0.42639,-0.60572,-0.8387,-1.1155,0.14824,-0.13161,-0.48221,-0.40106,0.033924,0.17709,-0.18502,-0.012622
-0.31556,-0.672,-0.56741,-0.77008,-0.60021,-0.64521,-0.89329,-1.0168,-0.33681,-0.62015,-0.68633,-0.75332,1.5858,1.6794,0.093316,-0.33869
-0.96861,-0.96052,-0.7492,-0.82021,-0.52114,-0.26377,0.16021,0.60111,-1.0954,-1.0076,-0.73058,-0.44901,0.26962,0.31532,-0.1187,0.73911
