0.59219,1.2081,0.88709,-0.19547,-0.16308
-0.079777,-0.64261,-0.40388,-0.54107,-0.53496
0.49326,-0.43066,-0.106,0.24441,0.87605
0.19243,1.2418,0.28973,-0.15355,-0.33821
2.4348,0.85921,-0.0049552,-0.5744,-0.89144
0.37598,-0.66736,-0.86499,-0.61495,-0.52428
-0.022285,-0.39084,-0.04702,0.092726,-0.12954
-0.46654,-0.21993,-0.99279,0.24192,0.17179
1.3252,0.63402,0.016992,-0.45098,-0.7804
0.46563,1.1629,0.29887,-0.13902,-0.48875
2.0664,-0.76378,-0.69651,-0.38055,-0.42441
2.7001,-0.67919,-0.68279,-0.39653,-0.39585
0.10527,-0.66889,0.70031,0.053219,1.4039
3.7575,-0.65793,-0.73948,-0.36369,-0.13054
0.42845,-0.78633,-0.56391,-0.50341,-0.47857
-0.41637,0.14824,-0.13161,-0.48221,-0.40106
0.42765,-0.33681,-0.62015,-0.68633,-0.75332
1.0863,-1.0954,-1.0076,-0.73058,-0.44901
2.9492,0.64695,0.066143,0.034108,-0.69668
1.1788,0.74172,-0.20636,-0.24124,-0.62837
-0.47601,-0.81359,0.34231,-0.36907,-0.024214
1.2578,0.39144,0.0032749,-0.56861,-1.0989
0.17077,-0.50742,-0.25026,-0.51987,-0.25922
-1.0405,0.017145,-0.19905,-0.050848,-0.52875
-0.01669,0.29024,-0.22008,-0.22204,-0.32579
0.92284,-0.75509,-1.0234,-0.62201,-0.46714
-0.31917,1.756,1.2147,0.425,-0.3797
0.20496,0.26641,0.11689,0.10108,-0.68972
-0.95879,-0.60935,-0.43863,-0.6343,-0.075139
0.11424,0.90846,-0.14464,3.957,2.6719
-1.0469,-1.1702,-0.83802,-0.79658,-0.5762
-0.43389,-0.4834,-0.61923,-0.33053,-0.3007
-0.37513,-0.54485,-0.51682,-0.73563,-0.5762
-0.63254,-0.89126,-0.93335,-0.92064,-0.93466
-1.1571,0.021984,-0.69765,-0.58564,-0.12532
-0.058237,-0.83895,-0.62015,-0.66152,-0.67631
-0.23773,-1.2882,-0.774,-0.7003,-0.23835
-1.1714,-0.38147,-0.21939,-0.57126,-0.27536
-0.23228,-0.1428,-0.23791,-0.28307,-0.077375
1.2345,0.66814,-0.13321,-0.33061,-0.44777
-0.72208,-0.7315,-0.86819,-0.34097,0.32606
-0.56635,-0.39641,-0.766,-0.33808,-0.42566
-1.1969,0.94412,0.48542,-0.087786,-0.2704
-0.73112,-0.69842,-0.52367,-0.65172,-0.76673
